Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
PRT,porto,01:30.0,3.3,0,0.2,1,0,01:30.0,11.24699163758936,11.350380364362442,-0.103388727
PRT,porto,01:30.0,2.1,0,0.3,1,0,01:30.0,12.696846362009657,12.843258168271836,-0.146411806
PRT,porto,01:30.0,0.8,0,0.3,1,0,01:30.0,12.290347389945282,12.54280101669038,-0.252453627
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.030915561810954,12.310502513657937,-0.279586952
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,11.570906670048696,11.900760102199751,-0.329853432
PRT,porto,01:30.0,8,0,0.2,2,1,01:30.0,11.914238054864413,12.34352982771867,-0.429291773
PRT,porto,01:30.0,7.8,0,0.8,4,2,16:30.0,12.105618277823506,12.565184424660858,-0.459566147
PRT,porto,01:30.0,0,2,0,0,2,01:30.0,12.61965923652726,13.203412721967322,-0.583753485
PRT,porto,01:30.0,3.6,8,0.3,2,10,01:30.0,12.881119640972305,13.37774818342704,-0.496628542
PRT,porto,01:30.0,25.5,16,7.3,9,14,01:30.0,13.35828989596549,13.34825876036473,0.010031136
PRT,porto,01:30.0,92.5,21,19.4,26,16,31:30.0,13.67661307523672,13.33707347026323,0.339539605
PRT,porto,01:30.0,131.3,21,24.1,29,12,46:30.0,13.87227886051093,13.708356706052442,0.1639221544584881
PRT,porto,16:30.0,166.5,23,30.3,40,12,01:30.0,14.077834782888775,13.681139777693543,0.396695005
PRT,porto,46:30.0,143.6,19,29.5,39,12,16:30.0,13.54127117398142,13.273723623943166,0.2675475500382536
PRT,porto,01:30.0,40.6,10,6.8,12,12,16:30.0,12.797852169765877,12.948902980856264,-0.151050811
PRT,porto,46:30.0,20.7,8,2.8,8,8,46:30.0,12.64029820456166,12.878184251855943,-0.237886047
PRT,porto,01:30.0,24.9,11,5.3,10,9,01:30.0,12.858175717801966,12.987172198068526,-0.12899648
PRT,porto,31:30.0,19.9,11,2.4,7,13,01:30.0,12.86403445456368,13.134463979391096,-0.270429525
PRT,porto,46:30.0,4.7,9,2.2,2,12,46:30.0,12.72402752851531,13.11970440151091,-0.395676873
PRT,porto,46:30.0,3.4,4,0.2,1,4,46:30.0,11.976237690842265,12.390392165914689,-0.414154475
PRT,porto,01:30.0,2.3,0,0.2,1,4,46:30.0,11.457270642074135,11.799393967928273,-0.342123326
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.502973781882677,10.805838920693736,-0.302865139
PRT,porto,01:30.0,4.8,0,0.5,2,0,01:30.0,10.63875291019176,10.744281302369451,-0.105528392
PRT,porto,01:30.0,5.7,0,0.6,2,0,01:30.0,11.477857817348491,11.322984162798235,0.1548736545502578
PRT,porto,01:30.0,4.4,0,0.4,2,0,01:30.0,11.57507995,11.615115794488307,-0.040035844
PRT,porto,01:30.0,4.9,0,3.1,3,0,01:30.0,11.984492452313496,11.95921174796754,0.025280704
PRT,porto,01:30.0,3.2,0,0.3,1,0,01:30.0,12.552435008005355,12.562937387371043,-0.010502379
PRT,porto,01:30.0,1.1,0,0.1,1,0,01:30.0,12.394007307622148,12.456285131740438,-0.062277824
PRT,porto,01:30.0,1.4,0,0.1,1,0,01:30.0,12.400811197912216,12.49193917460904,-0.091127977
PRT,porto,01:30.0,2.3,0,0.4,1,0,01:30.0,12.502692706225766,12.54003778048572,-0.037345074
PRT,porto,01:30.0,1,2,0.4,1,2,01:30.0,12.57702147,12.92902754499613,-0.352006073
PRT,porto,16:30.0,3.7,4,0.2,3,4,01:30.0,13.067627947243215,13.515400776035056,-0.447772829
PRT,porto,01:30.0,4.1,4,0.7,2,5,16:30.0,13.690831984159004,14.521256991855676,-0.830425008
PRT,porto,01:30.0,6.5,8,0.6,2,6,01:30.0,13.880888546779929,14.705083416043175,-0.824194869
PRT,porto,01:30.0,39.7,18,7.4,15,12,01:30.0,14.14466726678254,14.299540774449868,-0.154873508
PRT,porto,01:30.0,34.8,21,7.1,13,16,01:30.0,14.155816982158775,14.233851419882072,-0.078034438
PRT,porto,01:30.0,50.6,25,10.4,17,28,01:30.0,14.611997133475462,14.411793137349632,0.2002039961258308
PRT,porto,01:30.0,105.7,23,16.5,40,35,01:30.0,14.478622753156811,14.688833029046185,-0.210210276
PRT,porto,31:30.0,88.3,23,15.6,30,36,31:30.0,14.556089047319006,14.72378779609697,-0.167698749
PRT,porto,46:30.0,106.2,20,17.2,40,26,46:30.0,14.233347102231054,14.45461649,-0.221269383
PRT,porto,46:30.0,39.8,14,6.9,18,16,46:30.0,13.52652501,13.648079303593244,-0.121554298
PRT,porto,01:30.0,60.2,22,14.1,21,16,01:30.0,14.56972912671141,14.187665715851326,0.3820634108600842
PRT,porto,31:30.0,91.1,25,18.8,32,17,16:30.0,14.795581608889677,14.474128185894193,0.3214534229954857
PRT,porto,46:30.0,72.8,21,16,24,15,46:30.0,14.434131129824417,14.517448036293178,-0.083316906
PRT,porto,46:30.0,42.6,14,9.3,19,9,46:30.0,13.228632797352466,13.498938436886714,-0.27030564
PRT,porto,46:30.0,2.3,6,0.6,2,2,46:30.0,12.135007513577117,12.35685031,-0.2218428
PRT,porto,46:30.0,2.1,1,0.2,1,0,01:30.0,11.239065029054618,11.226590783961372,0.012474245
PRT,porto,01:30.0,2.9,0,0.2,1,0,01:30.0,11.673813350482511,11.416749171423028,0.2570641790594834
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.176698267518638,11.875465631150185,0.3012326363684536
PRT,porto,01:30.0,7,0,0.4,2,0,01:30.0,12.012421873532212,11.757042326986165,0.2553795465460506
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.52346544902857,12.27853525728326,0.2449301917453095
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,13.02586474,12.778343373807026,0.2475213645406739
PRT,porto,01:30.0,0.5,0,2.5,1,0,01:30.0,12.86522785561374,12.695543012345906,0.1696848432678326
PRT,porto,01:30.0,5.9,2,0.4,3,0,01:30.0,12.909205395079582,12.59389950301827,0.3153058920613123
PRT,porto,01:30.0,15.4,5,0.6,5,0,01:30.0,13.073253926511343,12.98791649,0.085337436
PRT,porto,16:30.0,4.7,8,0.2,1,2,01:30.0,13.489042613015595,13.384749022871084,0.1042935901445112
PRT,porto,01:30.0,13.8,9,1,6,3,01:30.0,13.87012153,13.989326516058306,-0.119204986
PRT,porto,01:30.0,38.1,22,3.9,13,10,01:30.0,15.304863084172906,14.743743818367216,0.561119266
PRT,porto,01:30.0,170.4,40,36.1,55,18,01:30.0,17.012543168669794,15.922224767086329,1.090318401583465
PRT,porto,01:30.0,590.4,73,98.3,153,40,01:30.0,20.75199714036688,17.960310429000614,2.791686711366268
PRT,porto,31:30.0,1027.7,79,152.4,267,51,01:30.0,21.502558078049702,18.75139305263208,2.7511650254176274
PRT,porto,46:30.0,916.6,76,137.3,258,48,46:30.0,20.894396364969985,18.63909923225988,2.255297132710112
PRT,porto,46:30.0,351.3,46,63.8,106,35,31:30.0,17.261620707138896,16.865375184510654,0.3962455226282415
PRT,porto,01:30.0,174.8,37,33.9,60,31,31:30.0,16.44248278268729,15.430004251631624,1.012478531055665
PRT,porto,46:30.0,154.7,36,30.5,55,25,46:30.0,16.357049693333245,15.26261061506846,1.0944390782647844
PRT,porto,46:30.0,186.9,32,33.7,54,17,01:30.0,16.258585501664125,14.981589312325124,1.276996189
PRT,porto,01:30.0,109.1,29,20.2,35,17,01:30.0,15.582333726855149,14.824073202907698,0.7582605239474507
PRT,porto,16:30.0,132.2,29,18.7,44,20,01:30.0,15.316800455511531,14.790720889956184,0.5260795655553494
PRT,porto,01:30.0,120.4,30,17.9,39,20,46:30.0,15.470675514023846,14.816833823250011,0.6538416907738345
PRT,porto,01:30.0,152.7,47,39.1,44,17,46:30.0,17.227857585299432,14.750920167438068,2.476937417861365
PRT,porto,01:30.0,600.6,64,105.2,162,12,46:30.0,19.338640575288466,15.74244651670028,3.596194058588182
PRT,porto,46:30.0,594.9,62,107.2,163,9,46:30.0,19.13682532519398,15.912115490056578,3.224709835
PRT,porto,46:30.0,222.1,28,60.9,54,4,46:30.0,13.831247113851484,12.574191816422582,1.2570552974289022
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.794661059526184,10.770341237621157,0.024319822
PRT,porto,01:30.0,2.9,0,0.1,1,0,01:30.0,11.200542311085773,11.27559636452706,-0.075054053
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,11.784239447697558,11.736596334454676,0.047643113
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,13.88325951,13.650284566192504,0.2329749487731955
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.707221383301414,12.670658013360867,0.03656337
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.56994712416958,12.45162146581195,0.1183256583576284
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.351600256813873,12.427581789618332,-0.075981533
PRT,porto,01:30.0,0,2,0,0,0,01:30.0,12.860562828309636,13.04356444,-0.183001614
PRT,porto,01:30.0,1.5,6,0.2,1,0,01:30.0,13.475210249289017,13.521256037080413,-0.046045788
PRT,porto,01:30.0,10.9,11,0.9,5,3,01:30.0,14.021385070771114,14.035703344680435,-0.014318274
PRT,porto,01:30.0,98.7,28,8.8,29,12,01:30.0,15.499174588903102,15.541740394435774,-0.042565806
PRT,porto,01:30.0,624.8,70,98.7,157,34,01:30.0,20.35733045701011,18.606405126485534,1.750925330524577
PRT,porto,31:30.0,1166,81,159.8,270,43,01:30.0,21.66253189526879,19.496231816139616,2.166300079129172
PRT,porto,46:30.0,863.8,67,128.2,223,41,46:30.0,19.91483300547896,18.877168808405475,1.0376641970734823
PRT,porto,46:30.0,224.5,34,35.3,74,34,01:30.0,15.93570098,16.502622601158134,-0.566921619
PRT,porto,46:30.0,115.7,28,16.2,40,34,46:30.0,15.27352968422325,15.647718037612194,-0.374188353
PRT,porto,46:30.0,81.3,25,12.1,30,21,46:30.0,14.921243005928895,15.105486064760088,-0.184243059
PRT,porto,46:30.0,52.4,20,8.3,23,13,01:30.0,14.524651026471034,14.627885178145071,-0.103234152
PRT,porto,01:30.0,78.2,23,7.2,16,16,01:30.0,14.64627042,14.658168251801207,-0.011897833
